DORK,URL,NUMBER OF RESULTS
""".mlab.com password""",https://github.com/search?q=org%3Ateslamotors+%22.mlab.com+password%22&type=Code,0
"""access_token""",https://github.com/search?q=org%3Ateslamotors+%22access_token%22&type=Code,1
"""amazonaws""",https://github.com/search?q=org%3Ateslamotors+%22amazonaws%22&type=Code,1
"""apiSecret""",https://github.com/search?q=org%3Ateslamotors+%22apiSecret%22&type=Code,0
"""api_key""",https://github.com/search?q=org%3Ateslamotors+%22api_key%22&type=Code,19
"""api_secret""",https://github.com/search?q=org%3Ateslamotors+%22api_secret%22&type=Code,0
"""apidocs""",https://github.com/search?q=org%3Ateslamotors+%22apidocs%22&type=Code,3
"""apikey""",https://github.com/search?q=org%3Ateslamotors+%22apikey%22&type=Code,0
"""app_key""",https://github.com/search?q=org%3Ateslamotors+%22app_key%22&type=Code,1
"""app_secret""",https://github.com/search?q=org%3Ateslamotors+%22app_secret%22&type=Code,0
"""client_secret""",https://github.com/search?q=org%3Ateslamotors+%22client_secret%22&type=Code,0
"""cloudfront""",https://github.com/search?q=org%3Ateslamotors+%22cloudfront%22&type=Code,0
"""codecov_token""",https://github.com/search?q=org%3Ateslamotors+%22codecov_token%22&type=Code,2
"""config""",https://github.com/search?q=org%3Ateslamotors+%22config%22&type=Code,27360
"""conn.login""",https://github.com/search?q=org%3Ateslamotors+%22conn.login%22&type=Code,0
"""connectionstring""",https://github.com/search?q=org%3Ateslamotors+%22connectionstring%22&type=Code,1
"""consumer_key""",https://github.com/search?q=org%3Ateslamotors+%22consumer_key%22&type=Code,2
"""credentials""",https://github.com/search?q=org%3Ateslamotors+%22credentials%22&type=Code,181
"""database_password""",https://github.com/search?q=org%3Ateslamotors+%22database_password%22&type=Code,0
"""internal""",https://github.com/search?q=org%3Ateslamotors+%22internal%22&type=Code,6720
"""irc_pass""",https://github.com/search?q=org%3Ateslamotors+%22irc_pass%22&type=Code,0
"""key""",https://github.com/search?q=org%3Ateslamotors+%22key%22&type=Code,10816
"""keyPassword""",https://github.com/search?q=org%3Ateslamotors+%22keyPassword%22&type=Code,1
"""ldap_password""",https://github.com/search?q=org%3Ateslamotors+%22ldap_password%22&type=Code,0
"""ldap_username""",https://github.com/search?q=org%3Ateslamotors+%22ldap_username%22&type=Code,0
"""login""",https://github.com/search?q=org%3Ateslamotors+%22login%22&type=Code,658
"""mailchimp""",https://github.com/search?q=org%3Ateslamotors+%22mailchimp%22&type=Code,0
"""mailgun""",https://github.com/search?q=org%3Ateslamotors+%22mailgun%22&type=Code,0
"""secret.password""",https://github.com/search?q=org%3Ateslamotors+%22secret.password%22&type=Code,0
"""secret_access_key""",https://github.com/search?q=org%3Ateslamotors+%22secret_access_key%22&type=Code,1
"""secret_key""",https://github.com/search?q=org%3Ateslamotors+%22secret_key%22&type=Code,29
"""secret_token""",https://github.com/search?q=org%3Ateslamotors+%22secret_token%22&type=Code,0
"""secrets""",https://github.com/search?q=org%3Ateslamotors+%22secrets%22&type=Code,40
"""secure""",https://github.com/search?q=org%3Ateslamotors+%22secure%22&type=Code,1008
"""security_credentials""",https://github.com/search?q=org%3Ateslamotors+%22security_credentials%22&type=Code,0
"""send.keys""",https://github.com/search?q=org%3Ateslamotors+%22send.keys%22&type=Code,0
"""send_keys""",https://github.com/search?q=org%3Ateslamotors+%22send_keys%22&type=Code,0
HOMEBREW_GITHUB_API_TOKEN language:shell,https://github.com/search?q=org%3Ateslamotors+HOMEBREW_GITHUB_API_TOKEN+language%3Ashell&type=Code,0
